STELE BIO                      | esp. G02F HORMONIOS SEXUAIS TOPICOS           | app G03C ESTROGENOS E ASSOCIACOES EXCETO G03A G03E G03F
ULTRAPROCT MOK                 | esp. M01A ANTI REUMATICOS SEM ESTEROIDES      | app C05A1 COM CORTICOIDES
CETOBETA                       | esp. D11A OUTRAS PREPARACOES DERMATOLOGICAS I | app D07B3 COM ANTIBACTERIANOS E ANTIMICOTICOS
NISTATINA OXIDO DE ZINCO MED   | esp. D01A ANTIMICOTICOS DERMATOLOGICOS        | app J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF
WARYZ                          | esp. B01A ANTICOAGULANTES NAO INJETAVEIS      | app C05B TERAPIA VARICOSA TOPICA
DICLOR DE LEVOCETIRIZINA NEO   | esp. R06A ANTIHISTAMINICOS SISTEMICOS         | app VITAMINA OUTRO
BENZOILMETRONIDAZOL PRD        | esp. G01A TRICOMONICIDAS                      | app P01A AMEBICIDAS
ALMEIDAPRADO                   | esp. A09A DIGESTIVOS INCLUIDO ENZIMAS         | app R05D1 ANTITUSSIGENOS PUROS
IMUNEVITTA CALCIO              | esp. A12A CALCIO                              | app VITAMINA OUTRO
PLANTABEN                      | esp. A07X OUTROS PRODUTOS PARA DESORDENS INTE | app A06A3 INCREMENTADORES DO BOLO INTESTINAL
SEDOL CAZ                      | esp. N02C CONTRA ENXAQUECA                    | app A03D ASSOCIACOES COM ANALGESICOS
AFLEVIL                        | esp. J01M RIFAMPICINA RIFAMICINA              | app N02B NAO NARCOTICOS ANTIPIRETICOS
SECNIDAZOL PHA                 | esp. D11A OUTRAS PREPARACOES DERMATOLOGICAS I | app J01X9 TODOS OUTROS ANTI BACTERIANOS
OSSOTRAT                       | esp. A11C VITAMINA A D INCLUINDO ASSOCIACOES  | app VITAMINA OUTRO
TIOCO TINIDAZOL EMS            | esp. G01A TRICOMONICIDAS                      | app J01X9 TODOS OUTROS ANTI BACTERIANOS
DOMPERIDONA GER                | esp. A03F GASTROPROCINETICOS                  | app A04A1 ANTAGONISTAS DA SEROTONINA
WELLVIN                        | esp. A06A DROGAS PARA A CONSTIPACAO           | app OUTRA CATEGORIA
ZALERV                         | esp. N04A ANTIPARKINSONIANOS                  | app R06A ANTIHISTAMINICOS SISTEMICOS
METRONIDAZOL EMS               | esp. G01A TRICOMONICIDAS                      | app J01X9 TODOS OUTROS ANTI BACTERIANOS
BART H MOM                     | esp. C09C ANTAGONISTAS DE LA ANGIOTENSINA II  | app C09D1 ANTAGONISTAS ANGIOTENSINA II ASSO COM A HIPERT C2
REPLAGAL TKD                   | esp. N07D PRODUTOS ANTI ALZHEIMER             | app A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB
TRIBULUS MACA PERU             | esp. G04E PRODUTOS PARA DISFUNCAO ERETIL      | app PERU
SAN JULLY                      | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app VITAMINA OUTRO
NANCARE NES                    | esp. A06A DROGAS PARA A CONSTIPACAO           | app A07F MICROORGANISMOS ANTIDIARREICOS
ASEA HCT                       | esp. C09D ANTAGONISTAS DE LA ANGIOTENSINA II  | app C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS
DESLORATADINA EMS              | esp. R05C EXPECTORANTES                       | app R06A ANTIHISTAMINICOS SISTEMICOS
TEUPANTOL TEU                  | esp. D02A EMOLIENTES E PROTETORES             | app D03A9 TODOS OUTROS AGENTES CURATIVOS FERIDAS
OCEAN DROP                     | esp. A07X OUTROS PRODUTOS PARA DESORDENS INTE | app OUTRA CATEGORIA
