barcode,descriptions
40141777485,"{""VITAMINA B12 MASTIGAVEL 60CPDS SUAVNUTRITION"",""VITAMINA B12 FR 60CPR SB MORANGO LIV HEALTH"",""SUPL ALIM SUAV NUTRITION VITAMINA B12 X 60 CAPS""}"
40141777614,"{""GOOD VIT PEA C/60 CPS - ."",""GOOD VIT CAPSULAS PEA 500.0 MG  X 60"",""SUPL ALIM GOOD VIT PEA X 60CAPS""}"
40141777638,"{""GOOD VIT CITRATO MALATO DE CAL"",""GOOD VIT CITRATO MALATO DE CALCIO C/60 - . CITRATO DE MALAT"",""SUPL ALIM GOOD VIT CITRATO MALATO DE CALCIO 60UN""}"
40141777683,"{""5X MAGNESIOS PROPHARMACOS C/ 60CAPS"",""PROPHARMACOS 5X VITAMINA MAGNESIOS 60CPRS""}"
40141778123,"{""BAC SENIOR 500MG C 60"",""SUPL ALIM BAC SENIOR 500MG 60 CP""}"
40141778925,"{""EURO GOLD SENIOR 60 CAPS"",""SUPL ALIM EURO GOLD SENIORX 60CAPS""}"
40141778956,"{""EURO GOLD CABELO PELE E UNHAS 60 CAPS"",""SUPL ALIM MULT EUROFARMA CABELO PELE E UNHAS X 60 CAPS""}"
40141779007,"{""ESSENCE ALL BIOTINA 60 CAPS -"",""ESSENCE ALL BIOTINA 60 CAPS - ."",""SUPL ALIM ESSENCE ALL BIOTINA CAPSULA 60UN""}"
40141779014,"{""ESSENCE ALL OMEGA 3 120 CAPS -"",""ESSENCE ALL - ALL OMEGA 3 C/120 CAPS"",""ESSENCE ALL OMEGA 3 120CPS""}"
40141779021,"{""ESSENCE ALL ZINCO QUELATO 60 C"",""ESSENCE ALL ZINCO QUELATO 60 CAPS - ."",""SUPL ALIM ZINCO QUELATO ESSENCE ALL CAPSULA 60UN""}"
40141779038,"{""ESSENCE ALL VIT ALL COMPLEXO B"",""ESSENCE ALL VIT ALL COMPLEXO B 100 CAPS - ."",""SUPL ALIM MULT ESSENTIAL NUTRITION ALL VIT COMPL B 60 CPRS""}"
40141779052,"{""ESSENCE ALL CLORETO DE MAG 60C"",""ESSENCE ALL CLORETO DE MAGNESIO 60 CAPS - ."",""SUPL ALIM ESSENCE CLORETO DE MAGNESIO 60CAPS""}"
40141779069,"{""ESSENCE ALL VITAMINA B12 60 CA"",""ESSENCE ALL VITAMINA B12 60 CAPS - ."",""SUPL ALIM ESSENCE ALL VITAMINA B12 500MG X 60 CAPS""}"
40141779205,"{""NUTRA VITTON VITAMINA K2 60CPS"",""SUPL ALIM NUTRA VITTON VIT K2 X 60CAPS""}"
40141779212,"{""NUTRA VITTON KIDS MASTIGAVEL"",""SUPL ALIM NUTRA VITTON KIDS MASTIGAVEL MORANGO 60 CPRS""}"
40141779595,"{""GOOD VIT MAGNESIO INOSITOL 180"",""GOOD VIT MAGNESIO INOSITOL 180G - . ( UN )"",""SUPL ALIM GOOD VIT MAGNESIO INOSITOL 180G""}"
40141780195,"{""POLI STAR CALCIO D3 C/60 CAPS"",""POLI STAR CALCIO D3 C/60 CAPS ."",""SUPL ALIM POLI STAR CALCIO CAPSULA 60UN""}"
40141780508,"{""CENTRU SUPER CALCIO 600MGD3 400UI 60CAPS  ."",""SUPL ALIM CENTRU CALCIO 60UN""}"
40141781062,"{""GOOD VIT INOSITOL 1000MG C/60 CAPS - ."",""GOOD VIT CAPS INOSITO 500.0 MG  X 60"",""SUPL ALIM GOOD VIT MAGNESIO INOSITOL 180G""}"
40141781185,"{""MAGNESIO 500MG C/60 CAPS BISGLICINATO (SAUB)"",""SUPL ALIM SAUB MAGNESIO 60UN""}"
40141781291,"{""SUAVNUTRITION COMPLEXO B 100 CAPS"",""SUAVNUTRITION COMPLEXO B 100 CAPS - ."",""SUPL ALIM COMPLEXO B SUAVNUTRITION CAPSULA 100UN""}"
40141781383,"{""GOOD VIT OMEGA 3 PEIXINHO 120 CAPS - ."",""GOOD VIT KIDS OME SABOR CEREJA C/ LARANJA CPR MASTIGAVEL - ."",""SUPL ALIM GOOD VIT OMEGA PEIXINHO CEREJA COM LARANJA 120UN""}"
40141781420,"{""ESSENCE ALL SENIOR 60 CAPS - ."",""ESSENCE ALL - ALL SENIOR C/60 CAPS"",""SUPL ALIM MULT ESSENCE ALL ALL SENIOR 60CAPS""}"
40141781437,"{""ESSENCE ALL AZ 60 CAPS - ."",""ESSENCE ALL VITAMINA A-Z 20VIT + ARGININA C/60"",""SUPL ALIM MULT ESSENCE ALL A-Z 60CAPS""}"
40141781468,"{""ESSENCE ALL ENERGIA 60 CAPS -"",""ESSENCE ALL ENERGIA 60 CAPS - ."",""SUPL ALIM MULT ESSENCE ALL ENERGIA 60CP""}"
40141781499,"{""ESSENCE ALL MELATONINA SUBLING"",""ESSENCE ALL MELATONINA SUBLINGUAL 100 CPR - ."",""SUPL ALIM ESSENTIAL NUTRITION ALL MELATONINA SUBLING 100CPRS""}"
40141781505,"{""ESSENCE ALL MULHER 60 CAPS - ."",""VITAMINA MULHER COM COENZIMA 10 C/ 60 CÁPSULAS BEMME"",""SUPL ALIM ESSENCE ALL MULHER 60UN""}"
40141781529,"{""ESSENCE ALL VITAMINA B12 C60"",""ESSENCE ALL - ALL VITAMINA B12 C/60 CAPS MASTIGAVEL"",""ESSENCE ALL VITAMINA B12 X 60CAPS""}"
40141781888,"{""POLI STAR ZINCO QUELATO C/60 CAPS"",""SUPL ALIM ZINCO QUELATO POLISTAR 60UN""}"
40141781901,"{""POLI STAR MAGNESIO DIMALATO C/60 CAPS"",""POLISTAR CAPS MAG DIM X 60"",""SUPL ALIM MAGNESIO DIMALATO POLI STAR 60UN""}"
40141781949,"{""POLI STAR CALCIO MDK C/60 CAPS"",""SUPLEMENTO ALIMENTA POLI STAR CALCIO MDK  C/60"",""SUPL ALIM CALCIO MDK POLI STAR CAPSULA 60UN""}"
