fabricante	Marca	Algoritmo Marca Propia	Est Mer 6 Descripcion	EST_MER_6_CODIGO	Est Mer 7 Descripcion	Est Mer Codigo	Imp venta últ 24 meses	Qtd Sku	
FARMAX CIA	FLORALIV FAM	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	267.541	4	a
OUTRO FABRICANTE	ARDRAK	NAO E MARCA PROPIA	A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB	.3.12.2.16.1	A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB	.3.12.2.16.1.1	266.866	1	a
PREVENT PHARMA	PREVENT	NAO E MARCA PROPIA	A11X OUTRAS VITAMINAS PURAS	.3.12.2.11.8	A11X9 TODAS OUTRAS VITAMINAS PURAS E COMBINACOES	.3.12.2.11.8.3	266.368	1	a
LAPON	COLEGORICO LAP	NAO E MARCA PROPIA	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	.3.12.2.3.1	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	.3.12.2.3.1.1	264.306	1	a
EUROFARMA	FORFIGC/20 EUR	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	259.046	1	a
PRATI DONADUZZI	SIMETICONA PRD	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	258.778	2	a
LAPON	ELIXIRCOLEGORICO LAP	NAO E MARCA PROPIA	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	.3.12.2.3.1	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	.3.12.2.3.1.1	257.912	2	a
OUTRO FABRICANTE	Por Defecto	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	256.205	1	a
KRESS FARMACEUTICA	CENTROCAL 600+D3	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	256.013	2	a
CIFARMA	LACPLUS CIF	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A6 LAXANTES OSMOTICOS	.3.12.2.6.1.5	254.300	1	a
BIOFHITUS	EXPEBIO	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	253.009	1	a
BELFAR	SIMETICONA BEL	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A2 ANTIFISETICOS PUROS	.3.12.2.2.1.2	251.870	1	a
NOVARTIS	PANTOPRAZOL NOV	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	250.970	1	a
ACHE LABORATORIOS FARMACEUTICOS SA	NAUCLOZ ACH	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A9 OUTROS ANTIEMETICOS E ANTINAUSEA	.3.12.2.4.1.3	249.087	2	a
HEALTH LABS	HEALTH LABS	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	248.421	3	a
KRESS FARMACEUTICA	FIBERDAY KRE	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A3 INCREMENTADORES DO BOLO INTESTINAL	.3.12.2.6.1.3	246.826	1	a
ASSIFARMA	SUAVEMAG ASS	MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	246.460	1	a
POSITIVE COMPANY	JUNGLE	NAO E MARCA PROPIA	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5.1	243.473	1	a
LAPON	LAPON LAP	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	240.075	1	a
AIRELA PHARMACEUTICA	AIRELA	NAO E MARCA PROPIA	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5.1	240.072	1	a
ALTHAIA	EQUALIV ALT	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	238.051	3	a
GOMES SUPLEMENTOS ALIMENTARES LTDA	Por Defecto	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	237.936	2	a
OUTRO FABRICANTE	FIBRIX	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A3 INCREMENTADORES DO BOLO INTESTINAL	.3.12.2.6.1.3	237.243	2	a
REDE MASTERFARMA	MASTERFORCE PRO	MARCA PROPIA	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1.1	235.215	1	a
TAKEDA PHARMA	RIOPAN TKD	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A4 ANTIACIDOS COM ANTIFISETICOS	.3.12.2.2.1.3	234.798	1	a
NAOS	ESTHEDERM	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	234.396	1	a
CATARINENSE PHARMA	BEM CUIDAR CAT	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	230.969	1	a
BIOROOTS	BIOROOTS BTS	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	230.828	1	a
SIN PROVEEDOR ASOCIADO	SUPREFORCE	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	228.999	3	a
LABORNATUS DO BRASIL	REATIVA	NAO E MARCA PROPIA	A11X OUTRAS VITAMINAS PURAS	.3.12.2.11.8	A11X9 TODAS OUTRAS VITAMINAS PURAS E COMBINACOES	.3.12.2.11.8.3	227.143	1	a
DIVINA PHARMA	D PRO	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	226.679	1	a
VITAMEDIC	DIMENIDRINATO CLOR DE PIRIDOXINA VMD	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A1 ANTAGONISTAS DA SEROTONINA	.3.12.2.4.1.1	226.574	1	a
SIN PROVEEDOR ASOCIADO	CENTROPLUS	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	224.900	1	a
AVERT	AVERT AVR	NAO E MARCA PROPIA	A01A ESTOMATOLOGICOS	.3.12.2.1.1	A01A ESTOMATOLOGICOS	.3.12.2.1.1.1	224.555	1	a
EMS PHARMA	OMEPRAZOL MUL	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B1 ANTAGONISTAS H2	.3.12.2.2.2.1	224.456	3	a
ECOFITUS	ECOFITUS ECF	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A2 LAXANTES ESTIMULANTES	.3.12.2.6.1.2	223.501	2	a
ALLERGAN	ESSENCE ALL	NAO E MARCA PROPIA	A11A POLIVITAMINICOS COM MINERAIS	.3.12.2.11.1	A11A4 OUTROS POLIVIT COM MINERAIS	.3.12.2.11.1.4	218.251	1	a
OUTRO FABRICANTE	NATUMIX	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	218.005	1	a
DOVALLE	ALGI ARTICULAR	NAO E MARCA PROPIA	A11D VITAMINA B1 E ASSOCIACOES	.3.12.2.11.4	A11D3 VITAMINA B1	.3.12.2.11.4.1	217.611	1	a
HERTZ FARMACEUTICA	CALCIODEX KLE	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	216.823	2	a
KESTER PHARMA	AFLEXA	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	213.638	1	a
ACHE LABORATORIOS FARMACEUTICOS SA	PANTOMIX ACH	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	212.604	1	a
EMS PHARMA	GLIBENCLAMIDA NVQ	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	211.893	1	a
ESSENZA MEL	BABY ESSENCE	NAO E MARCA PROPIA	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	.3.12.2.3.1	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	.3.12.2.3.1.1	211.506	1	a
CIMED	HEPAMED CIM	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	210.938	2	a
TRUE SOURCE	TRUE SOURCE	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	209.845	3	a
EMS PHARMA	NORMOLAX EMS	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A1 LAXANTES SUAVIZANTES	.3.12.2.6.1.1	208.460	3	a
SHOOPNATU	SHOOPNATU	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	208.446	1	a
FORHEALTH NUTRICIONAL	GASTROFOR FRH	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	207.748	3	a
BIOBALANCE	BIOBALANCE BBL	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	206.865	1	a
TORRENT	CLOR DE SIBUTRAMINA TOR	NAO E MARCA PROPIA	A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1	A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1.1	206.820	1	a
EUROFARMA	SIBUTRAMINA EUR	NAO E MARCA PROPIA	A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1	A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1.1	206.044	2	a
AVERT	AVERT AVR	NAO E MARCA PROPIA	A11A POLIVITAMINICOS COM MINERAIS	.3.12.2.11.1	A11A4 OUTROS POLIVIT COM MINERAIS	.3.12.2.11.1.4	202.483	1	a
CATARINENSE PHARMA	PRIMIA CAT	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	202.098	1	a
UNIFABRA	LAXI VITA	MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A1 LAXANTES SUAVIZANTES	.3.12.2.6.1.1	200.033	1	a
KESTER PHARMA	EMULVIT KES	NAO E MARCA PROPIA	A11A POLIVITAMINICOS COM MINERAIS	.3.12.2.11.1	A11A4 OUTROS POLIVIT COM MINERAIS	.3.12.2.11.1.4	199.027	2	a
NUTRATEC	NEWNUTRITION	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	198.400	1	a
GRUPO NATUBELL	KATIGUA NTL	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	198.389	2	a
PHARMASCIENCE	CLOR DE LOPERAMIDA PHC	NAO E MARCA PROPIA	A07H INIBIDORES DA MOTILIDADE	.3.12.2.7.6	A07H INIBIDORES DA MOTILIDADE	.3.12.2.7.6.1	198.316	2	a
ASPEN	INSUNORM ASP	NAO E MARCA PROPIA	A10C INSULINAS HUMANAS E ANALOGAS	.3.12.2.10.1	A10C2 INSULINAS HUMANAS+ANALOGAS ACAO INTERMEDIA	.3.12.2.10.1.2	198.039	1	a
CATARINENSE PHARMA	NUTRIVOI CAT	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	196.607	1	a
PAGUE MENOS	ATIVDAY	MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	196.456	2	a
FARMOQUIMICA	LACTOFOS FRQ	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	190.951	2	a
KRESS FARMACEUTICA	CENTROCAL B12	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	190.614	1	a
MAXINUTRI	CALCIO MAGNESIO & ZINCO MXR	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	190.075	1	a
FORHEALTH NUTRICIONAL	ZAN PHARMA FRH	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	184.740	1	a
ARESE PHARMA LTDA.	JOFIX ARE	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A1 ANTAGONISTAS DA SEROTONINA	.3.12.2.4.1.1	184.549	2	a
FAB!	SOFTGEL	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	183.982	1	a
LABORNATUS DO BRASIL	REATIVA	NAO E MARCA PROPIA	A07B ADSORBENTES INTESTINALES ANTIDIARREICOS	.3.12.2.7.2	A07B ADSORBENTES INTESTINALES ANTIDIARREICOS	.3.12.2.7.2.1	181.531	1	a
M LABS COMERCIO DE PRODUTOS NATURAIS	BIGENS	NAO E MARCA PROPIA	A11X OUTRAS VITAMINAS PURAS	.3.12.2.11.8	A11X9 TODAS OUTRAS VITAMINAS PURAS E COMBINACOES	.3.12.2.11.8.3	181.435	1	a
PAGUE MENOS	SIMETICONA	MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A4 ANTIACIDOS COM ANTIFISETICOS	.3.12.2.2.1.3	181.398	1	a
QUALYNUTRI	QUALYNUTRI	NAO E MARCA PROPIA	A11G VITAMINA C INCLUSIVE ASSOCIADA A MINERAIS	.3.12.2.11.7	A11G2 VITAMINA C ASSOCIADA	.3.12.2.11.7.2	180.791	1	a
KESTER PHARMA	VITACEKLIN	NAO E MARCA PROPIA	A11G VITAMINA C INCLUSIVE ASSOCIADA A MINERAIS	.3.12.2.11.7	A11G2 VITAMINA C ASSOCIADA	.3.12.2.11.7.2	177.809	2	a
IMEC FARMACEUTICA	COMPLEXO B IME	NAO E MARCA PROPIA	A11E COMPLEXO B	.3.12.2.11.5	A11E1 COMPLEXO B PURO	.3.12.2.11.5.1	176.437	1	a
KRESS FARMACEUTICA	HIDROXILIV KRE	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	175.455	2	a
ULTRAFARMA	SIDNEY OLIVEIRA ULT	MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A6 LAXANTES OSMOTICOS	.3.12.2.6.1.5	175.332	1	a
ACHE LABORATORIOS FARMACEUTICOS SA	BENFOTIAMINA ACH	NAO E MARCA PROPIA	A11D VITAMINA B1 E ASSOCIACOES	.3.12.2.11.4	A11D3 VITAMINA B1	.3.12.2.11.4.1	174.402	1	a
AIRELA PHARMACEUTICA	ABCALCIUM AIR	NAO E MARCA PROPIA	A11A POLIVITAMINICOS COM MINERAIS	.3.12.2.11.1	A11A1 PRENATAL	.3.12.2.11.1.1	172.871	1	a
SOL BEBIDAS LTDA	VULCANO	NAO E MARCA PROPIA	A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB	.3.12.2.16.1	A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB	.3.12.2.16.1.1	172.138	1	a
INDUFAR	TG	NAO E MARCA PROPIA	A10S AGONISTAS GLP 1	.3.12.2.10.10	A10S AGONISTAS GLP 1	.3.12.2.10.10.1	171.929	2	a
VITAFOR	ENZYFOR VTF	NAO E MARCA PROPIA	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1.1	171.097	1	a
EMS PHARMA	ORLIPID EMS	NAO E MARCA PROPIA	A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1	A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1.1	170.167	2	a
CIFARMA	SOROZINC CIF	NAO E MARCA PROPIA	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5.1	170.058	1	a
OUTRO FABRICANTE	MAX ERVAS	NAO E MARCA PROPIA	A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB	.3.12.2.16.1	A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB	.3.12.2.16.1.1	169.879	2	a
SIN PROVEEDOR ASOCIADO	CALCIDEX MDK	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	168.648	1	a
GEOLAB	GEOLAB	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	167.491	1	a
ARTE NATIVA	PRO CALCIO D3 ART	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	167.216	3	a
HYPERA PHARMA	NEOPRAZOL NEO	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	167.129	2	a
TEUTO	OLEO TEU	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A1 LAXANTES SUAVIZANTES	.3.12.2.6.1.1	165.331	1	a
METALAB	GERMINA	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	165.216	1	a
CATARINENSE PHARMA	PERFECT SUPRA	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	163.841	1	a
TEUTO	LACTRAT TEU	NAO E MARCA PROPIA	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1.1	163.723	1	a
A2F LABORATORIO	IMUNEVITTA CALCIO	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	162.927	1	a
OUTRO FABRICANTE	HEPAZIIN	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	162.300	1	a
LABORATORIO GLOBO	REHIDRAZOL GLO	NAO E MARCA PROPIA	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5.1	161.844	12	a
UNIAO QUIMICA	XANTINON UNI	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A2 ANTIFISETICOS PUROS	.3.12.2.2.1.2	161.429	1	a
BRASTERAPICA	HIPERCAL D BRS	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	159.903	2	a
PROWIN	PROWIN PWN	NAO E MARCA PROPIA	A11F VITAMINAS B12 PURA	.3.12.2.11.6	A11F VITAMINAS B12 PURA	.3.12.2.11.6.1	159.884	1	a
HALEON	ADVIL HAL	NAO E MARCA PROPIA	A11F VITAMINAS B12 PURA	.3.12.2.11.6	A11F VITAMINAS B12 PURA	.3.12.2.11.6.1	158.357	1	a
KRESS FARMACEUTICA	LACTUDOSE KRE	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A6 LAXANTES OSMOTICOS	.3.12.2.6.1.5	157.362	1	a
MERCK	PANTOPRAZOL MER	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	156.243	3	a
BIOFHITUS	BIOFHITUS BFT	NAO E MARCA PROPIA	A11X OUTRAS VITAMINAS PURAS	.3.12.2.11.8	A11X9 TODAS OUTRAS VITAMINAS PURAS E COMBINACOES	.3.12.2.11.8.3	155.683	1	a
BIONATUS	EXTRA CALCIO MDK2	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	155.515	1	a
FARMOQUIMICA	GENGIMIN FRQ	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A9 OUTROS ANTIEMETICOS E ANTINAUSEA	.3.12.2.4.1.3	155.498	1	a
OUTRO FABRICANTE	CENTROLIFE	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	155.241	4	a
ASPEN	OSTEONUTRI ASP	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	154.189	2	a
APSEN	VELUS ASP	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	154.174	2	a
UNIPHAR	PERMAGANATO DE POTASSIO	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B1 ANTAGONISTAS H2	.3.12.2.2.2.1	153.247	1	a
EUROFITO	EUROFITO EUF	NAO E MARCA PROPIA	A11G VITAMINA C INCLUSIVE ASSOCIADA A MINERAIS	.3.12.2.11.7	A11G1 VITAMINA C PURA	.3.12.2.11.7.1	153.191	1	a
BELFAR	GASTROINTESTIN BEL	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	152.690	2	a
BIOLAB	GENGIBABY BIO	NAO E MARCA PROPIA	A01A ESTOMATOLOGICOS	.3.12.2.1.1	A01A ESTOMATOLOGICOS	.3.12.2.1.1.1	150.259	1	a
CIFARMA	FLORA CIF	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	149.981	2	a
AMILAB	AMILAB	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	149.971	2	a
ASSIFARMA	BORG ASS	MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	149.477	1	a
MASSIME	DOSSEO MAS	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	147.887	1	a
HERTZ FARMACEUTICA	SENEFLORA KLE	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A2 LAXANTES ESTIMULANTES	.3.12.2.6.1.2	147.803	1	a
IFAL	IFAL IFA	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	146.203	1	a
OUTRO FABRICANTE	FONTELAX	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A6 LAXANTES OSMOTICOS	.3.12.2.6.1.5	144.965	1	a
LABORATORIO GLOBO	NECRORGAN GLO	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	143.507	1	a
CATARINENSE PHARMA	MULTICORP	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	141.650	1	a
LITEE FARMA	LITEE CALCIO MDK	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	141.174	1	a
GOMES SUPLEMENTOS ALIMENTARES LTDA	GOOD VIT	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	140.119	4	a
OUTRO FABRICANTE	CALCIDAY	NAO E MARCA PROPIA	A11X OUTRAS VITAMINAS PURAS	.3.12.2.11.8	A11X9 TODAS OUTRAS VITAMINAS PURAS E COMBINACOES	.3.12.2.11.8.3	140.032	1	a
