fabricante	Marca	Algoritmo Marca Propia	Est Mer 6 Descripcion	EST_MER_6_CODIGO	Est Mer 7 Descripcion	Est Mer Codigo	Imp venta últ 24 meses	Qtd Sku	
MEDQUIMICA	PANTONAX MDQ	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	24.671	1	a
OUTRO FABRICANTE	CALCIUM 600 + VIT. D3 VGO	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	24.523	1	a
PAGUE MENOS	ATIVDAY	MARCA PROPIA	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5.1	24.204	2	a
TAKEDA PHARMA	RIOPAN TKD	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	24.022	1	a
AMILAB	AMILAB	NAO E MARCA PROPIA	A11X OUTRAS VITAMINAS PURAS	.3.12.2.11.8	A11X9 TODAS OUTRAS VITAMINAS PURAS E COMBINACOES	.3.12.2.11.8.3	23.775	1	a
BMF VIT	BMF	NAO E MARCA PROPIA	A11F VITAMINAS B12 PURA	.3.12.2.11.6	A11F VITAMINAS B12 PURA	.3.12.2.11.6.1	23.663	1	a
BESINS HEALTHCARE	INVERSION BES	NAO E MARCA PROPIA	A11A POLIVITAMINICOS COM MINERAIS	.3.12.2.11.1	A11A4 OUTROS POLIVIT COM MINERAIS	.3.12.2.11.1.4	23.179	1	a
EMS PHARMA	PANTOPRAZOL NVQ	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B1 ANTAGONISTAS H2	.3.12.2.2.2.1	23.162	1	a
NATUS FARMA	OPTIMUM VITTA	NAO E MARCA PROPIA	A11X OUTRAS VITAMINAS PURAS	.3.12.2.11.8	A11X9 TODAS OUTRAS VITAMINAS PURAS E COMBINACOES	.3.12.2.11.8.3	23.117	1	a
NUTRIFY	COLLAGEN NTF	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	22.999	1	a
OUTRO FABRICANTE	BOMVITAM	NAO E MARCA PROPIA	A11D VITAMINA B1 E ASSOCIACOES	.3.12.2.11.4	A11D4 VITAMINA B1 ASSOC VIT B6 OU B12	.3.12.2.11.4.2	22.959	1	a
RAINHA NUTRACEUTICO	BODY ACTION	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	22.947	1	a
UNILIFE	DOLOMITA ULF	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	22.793	2	a
AIRELA PHARMACEUTICA	FORTEVIT AIR	NAO E MARCA PROPIA	A11A POLIVITAMINICOS COM MINERAIS	.3.12.2.11.1	A11A4 OUTROS POLIVIT COM MINERAIS	.3.12.2.11.1.4	22.785	1	a
VITAMED	ESTOMANOL VTM	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	22.464	2	a
SINMAX INDUSTRIA DE ALIM LTDA	CENTRIX	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	22.361	2	a
