PRINCIPIO ATIVO;"TERMOS (todos precisam aparecer; | = sinonimo)";CATEGORIA;NOME OFICIAL DA CATEGORIA;BASE PEDE VALIDAR;DESTINO CORRIGIDO;OUTRAS CATEGORIAS NA BASE
Gluconato de cálcio;GLUCONATO DE CALCIO;1 1 SOLUCOES ELETROLITICAS;K01A1 1 1 SOLUCOES ELETROLITICAS;SIM;;
Sais para reidratação oral;SAIS PARA REIDRATACAO ORAL;1 1 SOLUCOES ELETROLITICAS;K01A1 1 1 SOLUCOES ELETROLITICAS;SIM;;
Sulfato de magnésio;SULFATO DE MAGNESIO;1 1 SOLUCOES ELETROLITICAS;K01A1 1 1 SOLUCOES ELETROLITICAS;SIM;;
Oxibutinina;OXIBUTININA;PRODUTOS PARA INCONTINENCIA URINARIA;G04D4 PRODUTOS PARA INCONTINENCIA URINARIA;SIM;;
Solifenacina;SOLIFENACINA;PRODUTOS PARA INCONTINENCIA URINARIA;G04D4 PRODUTOS PARA INCONTINENCIA URINARIA;SIM;;
Tolterodina;TOLTERODINA;PRODUTOS PARA INCONTINENCIA URINARIA;G04D4 PRODUTOS PARA INCONTINENCIA URINARIA;SIM;;
Alfuzosina;ALFUZOSINA;INIBIDORES DA TESTOSTERONA 5 ALFAREDUCTASA SIMPLES;G04C3 INIBIDORES DA TESTOSTERONA 5 ALFAREDUCTASA SIMPLES;SIM;;
Tansulosina;TANSULOSINA;INIBIDORES DA TESTOSTERONA 5 ALFAREDUCTASA SIMPLES;G04C3 INIBIDORES DA TESTOSTERONA 5 ALFAREDUCTASA SIMPLES;SIM;;
Baclofeno;BACLOFENO;RELAXANTES MUSCULARES ACAO CENTRAL;M03B RELAXANTES MUSCULARES ACAO CENTRAL;;;
Carisoprodol;CARISOPRODOL;RELAXANTES MUSCULARES ACAO CENTRAL;M03B RELAXANTES MUSCULARES ACAO CENTRAL;;;
Ciclobenzaprina;CICLOBENZAPRINA;RELAXANTES MUSCULARES ACAO CENTRAL;M03B RELAXANTES MUSCULARES ACAO CENTRAL;;;
Tizanidina;TIZANIDINA;RELAXANTES MUSCULARES ACAO CENTRAL;M03B RELAXANTES MUSCULARES ACAO CENTRAL;;;
Cianocobalamina (B12);CIANOCOBALAMINA;COMPLEXO B PURO;A11E1 COMPLEXO B PURO;;;
Piridoxina (B6);PIRIDOXINA;COMPLEXO B PURO;A11E1 COMPLEXO B PURO;;;
Tiamina (B1);TIAMINA;COMPLEXO B PURO;A11E1 COMPLEXO B PURO;;;
Vitamina A;VITAMINA A;VITAMINA A PURA;;;SIM;"VITAMINA B1; VITAMINA B1"
Vitamina D (Colecalciferol);VITAMINA D|COLECALCIFEROL;VITAMINA D PURA;;;SIM;"VITAMINA B1; VITAMINA B1"
Vitamina E;VITAMINA E;VITAMINA OUTRO;;;SIM;"VITAMINA B1; VITAMINA B1"
Montelucaste;MONTELUCASTE;ANTIASMATICOS ANTAGONISTAS DE LEUCOTRIENE SISTEMIC;R03J2 ANTIASMATICOS ANTAGONISTAS DE LEUCOTRIENE SISTEMIC;SIM;;
Zafirlucaste;ZAFIRLUCASTE;ANTIASMATICOS ANTAGONISTAS DE LEUCOTRIENE SISTEMIC;R03J2 ANTIASMATICOS ANTAGONISTAS DE LEUCOTRIENE SISTEMIC;SIM;;
Beclometasona;BECLOMETASONA;CORTICOIDES INALANTES;R03D1 CORTICOIDES INALANTES;SIM;;
Budesonida;BUDESONIDA;CORTICOIDES INALANTES;R03D1 CORTICOIDES INALANTES;SIM;;
Ciclesonida;CICLESONIDA;CORTICOIDES INALANTES;R03D1 CORTICOIDES INALANTES;SIM;;
Fluticasona;FLUTICASONA;CORTICOIDES INALANTES;R03D1 CORTICOIDES INALANTES;SIM;;
Cromoglicato de sódio;CROMOGLICATO DE SODIO;ANTIINFLAMATORIOS RESPIRATORIOS NAO ESTEROIDES SIS;R03C2 ANTIINFLAMATORIOS RESPIRATORIOS NAO ESTEROIDES SIS;SIM;;
Fenilefrina;FENILEFRINA;DESCONGESTIONANTES NASAIS;R01A7 DESCONGESTIONANTES NASAIS;SIM;;
Oximetazolina;OXIMETAZOLINA;DESCONGESTIONANTES NASAIS;R01A7 DESCONGESTIONANTES NASAIS;SIM;;
Pseudoefedrina;PSEUDOEFEDRINA;DESCONGESTIONANTES NASAIS;R01A7 DESCONGESTIONANTES NASAIS;SIM;;
Codeína;CODEINA;ANALGESICOS NARCOTICOS;N02A ANALGESICOS NARCOTICOS;;;ANTITUSSIGENOS PUROS
Dextrometorfano;DEXTROMETORFANO;ANTITUSSIGENOS PUROS;R05D1 ANTITUSSIGENOS PUROS;;;
Benralizumabe;BENRALIZUMABE;INIBIDORES DA PDE4 PARA ASMA E DPOC SISTEMICOS;R03H2 INIBIDORES DA PDE4 PARA ASMA E DPOC SISTEMICOS;SIM;;
Dupilumabe;DUPILUMABE;INIBIDORES DA PDE4 PARA ASMA E DPOC SISTEMICOS;R03H2 INIBIDORES DA PDE4 PARA ASMA E DPOC SISTEMICOS;SIM;;
Mepolizumabe;MEPOLIZUMABE;INIBIDORES DA PDE4 PARA ASMA E DPOC SISTEMICOS;R03H2 INIBIDORES DA PDE4 PARA ASMA E DPOC SISTEMICOS;SIM;;
Omalizumabe;OMALIZUMABE;INIBIDORES DA PDE4 PARA ASMA E DPOC SISTEMICOS;R03H2 INIBIDORES DA PDE4 PARA ASMA E DPOC SISTEMICOS;SIM;;
Ipratrópio;IPRATROPIO;ANTICOLINERGICOS INALANTES ACAO CURTA;R03K1 ANTICOLINERGICOS INALANTES ACAO CURTA;SIM;;
Glicopirrônio;GLICOPIRRONIO;ANTICOLINERGICOS INALANTES ACAO LONGA;R03K2 ANTICOLINERGICOS INALANTES ACAO LONGA;SIM;;
Tiotrópio;TIOTROPIO;ANTICOLINERGICOS INALANTES ACAO LONGA;R03K2 ANTICOLINERGICOS INALANTES ACAO LONGA;SIM;;
Umeclidínio;UMECLIDINIO;ANTICOLINERGICOS INALANTES ACAO LONGA;R03K2 ANTICOLINERGICOS INALANTES ACAO LONGA;SIM;;
Fenoterol;FENOTEROL;AGONISTAS BETA 2 ACAO CURTA INALANTES;R03A4 AGONISTAS BETA 2 ACAO CURTA INALANTES;SIM;;
Salbutamol (Albuterol);SALBUTAMOL|ALBUTEROL;AGONISTAS BETA 2 ACAO CURTA INALANTES;R03A4 AGONISTAS BETA 2 ACAO CURTA INALANTES;SIM;;
Terbutalina;TERBUTALINA;AGONISTAS BETA 2 ACAO CURTA INALANTES;R03A4 AGONISTAS BETA 2 ACAO CURTA INALANTES;SIM;;
Formoterol;FORMOTEROL;AGONISTAS BETA 2 ACAO LONGA INALANTES;R03A3 AGONISTAS BETA 2 ACAO LONGA INALANTES;SIM;;
Indacaterol;INDACATEROL;AGONISTAS BETA 2 ACAO LONGA INALANTES;R03A3 AGONISTAS BETA 2 ACAO LONGA INALANTES;SIM;;
Salmeterol;SALMETEROL;AGONISTAS BETA 2 ACAO LONGA INALANTES;R03A3 AGONISTAS BETA 2 ACAO LONGA INALANTES;SIM;;
Vilanterol;VILANTEROL;AGONISTAS BETA 2 ACAO LONGA INALANTES;R03A3 AGONISTAS BETA 2 ACAO LONGA INALANTES;SIM;;
Aminofilina;AMINOFILINA;XANTINAS SISTEMICAS;R03B2 XANTINAS SISTEMICAS;SIM;;
Teofilina;TEOFILINA;XANTINAS SISTEMICAS;R03B2 XANTINAS SISTEMICAS;SIM;;
Acetilcisteína;ACETILCISTEINA;EXPECTORANTES;R05C EXPECTORANTES;SIM;;
Ambroxol;AMBROXOL;EXPECTORANTES;R05C EXPECTORANTES;SIM;;
Bromexina;BROMEXINA;EXPECTORANTES;R05C EXPECTORANTES;SIM;;
Guaifenesina;GUAIFENESINA;EXPECTORANTES;R05C EXPECTORANTES;SIM;;
Dipirona;DIPIRONA;NAO NARCOTICOS ANTIPIRETICOS;N02B NAO NARCOTICOS ANTIPIRETICOS;;;
Paracetamol (Acetaminofeno);PARACETAMOL|ACETAMINOFENO;NAO NARCOTICOS ANTIPIRETICOS;N02B NAO NARCOTICOS ANTIPIRETICOS;;;
Fentanil;FENTANIL;ANALGESICOS NARCOTICOS;N02A ANALGESICOS NARCOTICOS;SIM;;
Hidromorfona;HIDROMORFONA;ANALGESICOS NARCOTICOS;N02A ANALGESICOS NARCOTICOS;SIM;;
Meperidina;MEPERIDINA;ANALGESICOS NARCOTICOS;N02A ANALGESICOS NARCOTICOS;SIM;;
Metadona;METADONA;ANALGESICOS NARCOTICOS;N02A ANALGESICOS NARCOTICOS;SIM;;
Morfina;MORFINA;ANALGESICOS NARCOTICOS;N02A ANALGESICOS NARCOTICOS;SIM;;
Oxicodona;OXICODONA;ANALGESICOS NARCOTICOS;N02A ANALGESICOS NARCOTICOS;SIM;;
Tramadol;TRAMADOL;ANALGESICOS NARCOTICOS;N02A ANALGESICOS NARCOTICOS;;;
Desflurano;DESFLURANO;ANESTESICOS INALANTES;N01A1 ANESTESICOS INALANTES;;;
Isoflurano;ISOFLURANO;ANESTESICOS INALANTES;N01A1 ANESTESICOS INALANTES;;;
Sevoflurano;SEVOFLURANO;ANESTESICOS INALANTES;N01A1 ANESTESICOS INALANTES;;;
Óxido nitroso;OXIDO NITROSO;ANESTESICOS INALANTES;N01A1 ANESTESICOS INALANTES;;;
Cetamina;CETAMINA;ANESTESICOS INALANTES;N01A1 ANESTESICOS INALANTES;;;
Etomidato;ETOMIDATO;ANESTESICOS INALANTES;N01A1 ANESTESICOS INALANTES;;;
Propofol;PROPOFOL;ANESTESICOS INALANTES;N01A1 ANESTESICOS INALANTES;;;
