EST_MER_6;MARCA;FABRICANTE
M01A ANTI REUMATICOS SEM ESTEROIDES;THYLOM OSO;OSORIO DE MORAES
R02A PREPARACOES PARA GARGANTA;OUREMMEL;OUREMMEL
M01A ANTI REUMATICOS SEM ESTEROIDES;DICLOFENACO ORF;OUROFINO
R05C EXPECTORANTES;ACETILCISTEINA;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;AFTIKE KRE;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;AKABADOR;OUTRO FABRICANTE
M05B REGULADORES DO CALCIO OSSEO;ALENDRONATO DE SODIO;OUTRO FABRICANTE
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;ALGESTONA+ESTR.;OUTRO FABRICANTE
A11A POLIVITAMINICOS COM MINERAIS;ALGI ARTICULAR;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;ALIVIO MAGICO;OUTRO FABRICANTE
A02A ANTIACIDOS ANTIFISETICOS;AMARGO;OUTRO FABRICANTE
H03B ANTI TIREOIDEANOS;AMGEN;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;AMORA;OUTRO FABRICANTE
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXICILINA;OUTRO FABRICANTE
R05C EXPECTORANTES;APIARIO CALAMBAU;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;APIARIO EMANUEL;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;APIES IPE;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;APIMIX;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;APIS BOM;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;APIS IPE;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;APIS PEROLA;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;APIS PURO;OUTRO FABRICANTE
A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB;ARDRAK;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;ARNICA;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;ARNICA DO MATO;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;ARNICADOMATO;OUTRO FABRICANTE
R05C EXPECTORANTES;AROEIRA;OUTRO FABRICANTE
G02X OTROS PRODUTOS GINECOLOGICOS;ATROFEM HYP;OUTRO FABRICANTE
A11A POLIVITAMINICOS COM MINERAIS;BARIATRIC FUSION;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;BEEVA;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;BELISSIMA;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;BENNE;OUTRO FABRICANTE
M01A ANTI REUMATICOS SEM ESTEROIDES;BETATRINTA EUR;OUTRO FABRICANTE
R05C EXPECTORANTES;BIOPANTOVIT;OUTRO FABRICANTE
D11A OUTRAS PREPARACOES DERMATOLOGICAS INCL XAMPUS MED;BLUEM;OUTRO FABRICANTE
A11D VITAMINA B1 E ASSOCIACOES;BOMVITAM;OUTRO FABRICANTE
A11F VITAMINAS B12 PURA;BOMVITAM;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;BOMVITAM;OUTRO FABRICANTE
H04X OUTRAS HORMONIOS E PREPARACAO COM ACOES SIMILARES;BOMVITAM;OUTRO FABRICANTE
R05C EXPECTORANTES;BOMVITAM;OUTRO FABRICANTE
S01L PREPARADOS PARA USO COM LENTES DE CONTATO;BOSTON SIMPLUS;OUTRO FABRICANTE
R05C EXPECTORANTES;BRONCOMEL;OUTRO FABRICANTE
C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS;BUFEDIL;OUTRO FABRICANTE
A05A PRODUTOS PARA DISTURBIOS DO TRATO BILIAR;BUKRU;OUTRO FABRICANTE
L01C ANTINEOPLASICOS DE ORIGEM VEGETAL;CABAZRED;OUTRO FABRICANTE
R05C EXPECTORANTES;CAICO;OUTRO FABRICANTE
A11X OUTRAS VITAMINAS PURAS;CALCIDAY;OUTRO FABRICANTE
A12A CALCIO;CALCIO MDK;OUTRO FABRICANTE
A12A CALCIO;CALCIO STAR D;OUTRO FABRICANTE
A12A CALCIO;CALCIOBON HER;OUTRO FABRICANTE
A12A CALCIO;CALCIUM 600 + VIT. D3 VGO;OUTRO FABRICANTE
A12A CALCIO;CALCIUM MAGNES+ZINCO VGO;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;CALMADOR;OUTRO FABRICANTE
N02B NAO NARCOTICOS ANTIPIRETICOS;CALMADOR;OUTRO FABRICANTE
N05C TRANQUILIZANTES;CALMATIVA;OUTRO FABRICANTE
M01A ANTI REUMATICOS SEM ESTEROIDES;CALMY;OUTRO FABRICANTE
N03A ANTICONVULSIVANTES;CANABIDIOL;OUTRO FABRICANTE
R05C EXPECTORANTES;CANTINHO DAS ERVAS;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;CAPVIT;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;CARTILANCE;OUTRO FABRICANTE
M01A ANTI REUMATICOS SEM ESTEROIDES;CASA DAS ERVAS;OUTRO FABRICANTE
A07F MICROORGANISMOS ANTIDIARREICOS;CENTROLIFE;OUTRO FABRICANTE
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;CERAZETTE OGB;OUTRO FABRICANTE
D07B ASSOCIACOES DE CORTICOIDES;CETOCONAZOL BETAMETASONA NEOMICINA;OUTRO FABRICANTE
A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB;CHILLI BEANS;OUTRO FABRICANTE
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE FLUOXETINA;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;CLORETO DE MAGNESIO;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;COAAF;OUTRO FABRICANTE
G02X OTROS PRODUTOS GINECOLOGICOS;COLIFLAX;OUTRO FABRICANTE
R05C EXPECTORANTES;COLOMETIN;OUTRO FABRICANTE
D03A AGENTES CURATIVOS FERIDAS;COLOPLAST;OUTRO FABRICANTE
M05X OUTROS PRODUTOS SISTEMA MUSCULO ESQUELETICO;COMPLEXO A;OUTRO FABRICANTE
R05C EXPECTORANTES;COMPOSTO DA NONA;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;CORDIAL;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;CREO CALCIO JOBIM;OUTRO FABRICANTE
R05F OUTROS ANTITUSSIGENOS E ANTIGRIPAIS;CREOCALCIOJOBIM;OUTRO FABRICANTE
A09A DIGESTIVOS INCLUIDO ENZIMAS;CREON;OUTRO FABRICANTE
C05C TERAPIA VARICOSA SISTEMICA;CVMED;OUTRO FABRICANTE
R05C EXPECTORANTES;DA VOVO;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;DERMAZON;OUTRO FABRICANTE
G04C PRODUTOS PARA HIPERPLASIA PROSTATICA BENIGNA HPB;DIFLUMID;OUTRO FABRICANTE
S01R ANTIINFLAMATORIOS OFTALMOLOGICOS NAO ESTEROIDES;DIMETILPOLISILOXANE;OUTRO FABRICANTE
N02A ANALGESICOS NARCOTICOS;DIMORF;OUTRO FABRICANTE
N02B NAO NARCOTICOS ANTIPIRETICOS;DIPIRONA;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;DO SERTAO;OUTRO FABRICANTE
R05C EXPECTORANTES;DO VALE;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;DOCTOR MAX;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;DOUTOR ERVAS;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;DOUTOR RELAX;OUTRO FABRICANTE
R05C EXPECTORANTES;DUBOM;OUTRO FABRICANTE
R05C EXPECTORANTES;DUPHALAC ABB;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;DUPRATA;OUTRO FABRICANTE
A11B POLIVITAMINICOS PUROS;E CLER;OUTRO FABRICANTE
D11A OUTRAS PREPARACOES DERMATOLOGICAS INCL XAMPUS MED;EFURIX;OUTRO FABRICANTE
L01B ANTIMETABOLITOS;EFURIX;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;EKOBE;OUTRO FABRICANTE
G04E PRODUTOS PARA DISFUNCAO ERETIL;ELIXPEGADOR;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;EMANUEL;OUTRO FABRICANTE
R05C EXPECTORANTES;EMANUEL;OUTRO FABRICANTE
N02C CONTRA ENXAQUECA;ENXAK;OUTRO FABRICANTE
A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES;EPADOSE;OUTRO FABRICANTE
A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES;EPAZIL;OUTRO FABRICANTE
B03C ERITROPOIETINAS;ERITROMAX;OUTRO FABRICANTE
A06A DROGAS PARA A CONSTIPACAO;ESGRILAX;OUTRO FABRICANTE
A11A POLIVITAMINICOS COM MINERAIS;ESSENCE ALL;OUTRO FABRICANTE
A11C VITAMINA A D INCLUINDO ASSOCIACOES DAS DUAS;ESSENCIAL;OUTRO FABRICANTE
A11G VITAMINA C INCLUSIVE ASSOCIADA A MINERAIS;ESSENCIAL;OUTRO FABRICANTE
A12A CALCIO;ESSENCIAL;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;ESSENCIAL;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;ESSENZA;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;ESSENZA;OUTRO FABRICANTE
R05C EXPECTORANTES;EXPECTOMIL;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;EXTRATO PROPOLIS;OUTRO FABRICANTE
N07D PRODUTOS ANTI ALZHEIMER;FAULDMETRO;OUTRO FABRICANTE
L01C ANTINEOPLASICOS DE ORIGEM VEGETAL;FAULDVINCRI;OUTRO FABRICANTE
A06A DROGAS PARA A CONSTIPACAO;FIBRIX;OUTRO FABRICANTE
A05A PRODUTOS PARA DISTURBIOS DO TRATO BILIAR;FIGAZILMAX;OUTRO FABRICANTE
A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES;FITO ERVAS;OUTRO FABRICANTE
R05C EXPECTORANTES;FLORA NATIVA DO BRASIL;OUTRO FABRICANTE
A07F MICROORGANISMOS ANTIDIARREICOS;FLORAINTESTIN;OUTRO FABRICANTE
R05C EXPECTORANTES;FLORAL ERVAS;OUTRO FABRICANTE
A07F MICROORGANISMOS ANTIDIARREICOS;FLORATIL;OUTRO FABRICANTE
R05C EXPECTORANTES;FLORESTA;OUTRO FABRICANTE
J01G FLUOROQUINOLONAS;FLOXIMED;OUTRO FABRICANTE
A06A DROGAS PARA A CONSTIPACAO;FONTELAX;OUTRO FABRICANTE
R05C EXPECTORANTES;FORHEALTH;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;FORMEL;OUTRO FABRICANTE
R05C EXPECTORANTES;FORMULA;OUTRO FABRICANTE
N02B NAO NARCOTICOS ANTIPIRETICOS;FQM;OUTRO FABRICANTE
A02A ANTIACIDOS ANTIFISETICOS;GASTRIMEC;OUTRO FABRICANTE
L01A AGENTES ALQUILINIZANTES;GENUXAL;OUTRO FABRICANTE
G01B ANTIMICOTICOS GINECOLOGICOS;GINO MIZONOL;OUTRO FABRICANTE
A09A DIGESTIVOS INCLUIDO ENZIMAS;GOOD VIT;OUTRO FABRICANTE
A12A CALCIO;GOOD VIT;OUTRO FABRICANTE
H04X OUTRAS HORMONIOS E PREPARACAO COM ACOES SIMILARES;GOOD VIT;OUTRO FABRICANTE
N06B PSICOESTIMULANTES;GOOD VIT;OUTRO FABRICANTE
A11C VITAMINA A D INCLUINDO ASSOCIACOES DAS DUAS;GOULART;OUTRO FABRICANTE
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;GRACIAL;OUTRO FABRICANTE
R05A ANTIGRIPAIS EXCLUINDO ANTINFECCIOSOS;GRAVATA;OUTRO FABRICANTE
N02B NAO NARCOTICOS ANTIPIRETICOS;GRIPALCE UNO;OUTRO FABRICANTE
A11G VITAMINA C INCLUSIVE ASSOCIADA A MINERAIS;GUAMAX MUNE;OUTRO FABRICANTE
R05C EXPECTORANTES;GUARABOM;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;GUMMY;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;HEALTHY;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;HEALTHY;OUTRO FABRICANTE
N05A ANTIPSICOTICOS;HEMIFUMARATO DE QUETIAPINA;OUTRO FABRICANTE
C05A ANTIHEMORROIDARIOS TOPICOS;HEMORROYDINA;OUTRO FABRICANTE
A05A PRODUTOS PARA DISTURBIOS DO TRATO BILIAR;HEPATILON KLE;OUTRO FABRICANTE
A05A PRODUTOS PARA DISTURBIOS DO TRATO BILIAR;HEPAZIIN;OUTRO FABRICANTE
S01X OUTROS OFTALMOLOGICOS;HIPERTONIC;OUTRO FABRICANTE
R06A ANTIHISTAMINICOS SISTEMICOS;HOXIDRIN;OUTRO FABRICANTE
J07B COMBINACOES DE VACINAS;INFANRIX HEXA;OUTRO FABRICANTE
M01A ANTI REUMATICOS SEM ESTEROIDES;INFLAMEX;OUTRO FABRICANTE
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;INIBIDEX;OUTRO FABRICANTE
G02X OTROS PRODUTOS GINECOLOGICOS;ISOSOY;OUTRO FABRICANTE
R05C EXPECTORANTES;ISTAIMARA;OUTRO FABRICANTE
M01A ANTI REUMATICOS SEM ESTEROIDES;JA VET;OUTRO FABRICANTE
N02D PROD GABAPENTINOIDES;JOLIK;OUTRO FABRICANTE
N04A ANTIPARKINSONIANOS;JUMEXIL;OUTRO FABRICANTE
R05C EXPECTORANTES;KALIPTOS;OUTRO FABRICANTE
M01A ANTI REUMATICOS SEM ESTEROIDES;KALMIDOR;OUTRO FABRICANTE
R05C EXPECTORANTES;KATIGUA;OUTRO FABRICANTE
D11A OUTRAS PREPARACOES DERMATOLOGICAS INCL XAMPUS MED;KEDAXYL;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;KI MEL;OUTRO FABRICANTE
A06A DROGAS PARA A CONSTIPACAO;KINATURAL;OUTRO FABRICANTE
R06A ANTIHISTAMINICOS SISTEMICOS;KOIDE EUR;OUTRO FABRICANTE
R05C EXPECTORANTES;KRIFF;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;LABORENE;OUTRO FABRICANTE
A06A DROGAS PARA A CONSTIPACAO;LACTUGOLD;OUTRO FABRICANTE
R05C EXPECTORANTES;LAMBEDOR;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;LANURA;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;LARINGEX;OUTRO FABRICANTE
A09A DIGESTIVOS INCLUIDO ENZIMAS;LASANDAY;OUTRO FABRICANTE
R05C EXPECTORANTES;LEGITIMO;OUTRO FABRICANTE
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;LENITRAL;OUTRO FABRICANTE
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;LESTEROL;OUTRO FABRICANTE
N01B ANESTESICOS LOCAIS EXCLUINDO DERMATOLOGICOS;LIDOSTESIM;OUTRO FABRICANTE
N03A ANTICONVULSIVANTES;LIFE SCIENCE;OUTRO FABRICANTE
R06A ANTIHISTAMINICOS SISTEMICOS;LORATADINA;OUTRO FABRICANTE
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;LOSARTANA;OUTRO FABRICANTE
A02B ANTIULCEROSOS;LOSEC;OUTRO FABRICANTE
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;LYNDAVELUNO;OUTRO FABRICANTE
R05C EXPECTORANTES;MACRO VIC EXPEC;OUTRO FABRICANTE
A06A DROGAS PARA A CONSTIPACAO;MAGMILK;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;MAGNESIO;OUTRO FABRICANTE
K01F SOLUCOES PARA TERAPIA OSMOTICA;MANITOL;OUTRO FABRICANTE
R05C EXPECTORANTES;MARIA FLOR;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;MAX ERVAS;OUTRO FABRICANTE
A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB;MAX ERVAS;OUTRO FABRICANTE
G04C PRODUTOS PARA HIPERPLASIA PROSTATICA BENIGNA HPB;MAX ERVAS;OUTRO FABRICANTE
N06B PSICOESTIMULANTES;MAX ERVAS;OUTRO FABRICANTE
R05C EXPECTORANTES;MAXCETIL;OUTRO FABRICANTE
P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;MEBENDAZOL;OUTRO FABRICANTE
A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES;MEG ERVAS;OUTRO FABRICANTE
R05A ANTIGRIPAIS EXCLUINDO ANTINFECCIOSOS;MEGAMEL;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;MEL COLMEIA;OUTRO FABRICANTE
N05A ANTIPSICOTICOS;MELLERIL;OUTRO FABRICANTE
M01A ANTI REUMATICOS SEM ESTEROIDES;MERCK;OUTRO FABRICANTE
R05C EXPECTORANTES;METAMIX;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;MINAS MEL;OUTRO FABRICANTE
N06A A DEPRESSIVOS E REGUL DE HUMOR;MIRTAZAPINA;OUTRO FABRICANTE
G03B ANDROGENOS E ASSOCIACOES EXCETO G3E G3F;MOD;OUTRO FABRICANTE
J01G FLUOROQUINOLONAS;MOEDENSE;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;MOEDENSE;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;MULTIFLOR;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;MULTIFLOR;OUTRO FABRICANTE
R05C EXPECTORANTES;MULTIFLOR;OUTRO FABRICANTE
R05C EXPECTORANTES;MUWIZ;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;NATUMIX;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;NATURA LIFE;OUTRO FABRICANTE
R05C EXPECTORANTES;NATURAPIS;OUTRO FABRICANTE
A11A POLIVITAMINICOS COM MINERAIS;NATURE ENERGY;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;NATURES;OUTRO FABRICANTE
R05C EXPECTORANTES;NATURYS;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;NATUSPRAY;OUTRO FABRICANTE
R05A ANTIGRIPAIS EXCLUINDO ANTINFECCIOSOS;NECTAMEL;OUTRO FABRICANTE
R05F OUTROS ANTITUSSIGENOS E ANTIGRIPAIS;NECTAMEL;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;NECTAR;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;NEW GREEN;OUTRO FABRICANTE
R05C EXPECTORANTES;NOSSA FLORA;OUTRO FABRICANTE
B02E PRODUTOS ELEVADORES DE PLAQUETAS;NPLATE;OUTRO FABRICANTE
H04X OUTRAS HORMONIOS E PREPARACAO COM ACOES SIMILARES;NUANCE;OUTRO FABRICANTE
R05C EXPECTORANTES;NUTRI ERVAS;OUTRO FABRICANTE
A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB;NUTRYERVAS;OUTRO FABRICANTE
A02B ANTIULCEROSOS;OMEPRAZOL;OUTRO FABRICANTE
R05C EXPECTORANTES;OPTIMUM EXPECTOR;OUTRO FABRICANTE
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;ORGANON BRASIL;OUTRO FABRICANTE
A12A CALCIO;OSTEOPACK;OUTRO FABRICANTE
S01E MIOTICOS E PRAPARADOS ANTIGLAUCOMA;OXINEST CRI;OUTRO FABRICANTE
D11A OUTRAS PREPARACOES DERMATOLOGICAS INCL XAMPUS MED;OXIPELLE;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;PADRE CICERO;OUTRO FABRICANTE
A02B ANTIULCEROSOS;PANTOPRAZOL;OUTRO FABRICANTE
N02B NAO NARCOTICOS ANTIPIRETICOS;PARACEN;OUTRO FABRICANTE
N01B ANESTESICOS LOCAIS EXCLUINDO DERMATOLOGICOS;PASSAJA;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;PEDRA DO INDIO;OUTRO FABRICANTE
R05C EXPECTORANTES;PEITORAL FITOBRONC;OUTRO FABRICANTE
A11X OUTRAS VITAMINAS PURAS;PEIXINHO;OUTRO FABRICANTE
H02A CORTICOSTEROIDES PUROS;PERMESE;OUTRO FABRICANTE
P03A ECTOPARASITICIDAS INCL ESCAB;PERMITRAT;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;PETITE FLEUR;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;PHARMALIV;OUTRO FABRICANTE
D08A ANTISSEPTICOS E DESINFETANTES EXCL CURATIVOS MEDIC;PIELSANA;OUTRO FABRICANTE
C05C TERAPIA VARICOSA SISTEMICA;PLASMOVE;OUTRO FABRICANTE
R05F OUTROS ANTITUSSIGENOS E ANTIGRIPAIS;PNEUMOVITA;OUTRO FABRICANTE
R05C EXPECTORANTES;POLIPLUS;OUTRO FABRICANTE
M01A ANTI REUMATICOS SEM ESTEROIDES;POVIDINE;OUTRO FABRICANTE
A07F MICROORGANISMOS ANTIDIARREICOS;PRADO;OUTRO FABRICANTE
H02A CORTICOSTEROIDES PUROS;PREDNISONA;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;PRONATUS;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;PRONATUS;OUTRO FABRICANTE
J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;PRONAZOL;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;PROPOFLEX;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;PROPOLIS;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;PROPOMA;OUTRO FABRICANTE
R05C EXPECTORANTES;PURAVIDA;OUTRO FABRICANTE
A11C VITAMINA A D INCLUINDO ASSOCIACOES DAS DUAS;PURE ESSENCE;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;PUREZA;OUTRO FABRICANTE
A12A CALCIO;REFLUBEN;OUTRO FABRICANTE
A06A DROGAS PARA A CONSTIPACAO;REGULAX FIBRAS;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;RESFBEN;OUTRO FABRICANTE
L01K ANTINEOPLASICOS LIDOMIDA;REVLIMID;OUTRO FABRICANTE
R05C EXPECTORANTES;ROYAL DRINK;OUTRO FABRICANTE
A06A DROGAS PARA A CONSTIPACAO;SABOR E SAUDE;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;SAMAR;OUTRO FABRICANTE
R05C EXPECTORANTES;SANTANA;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;SANTE;OUTRO FABRICANTE
R05C EXPECTORANTES;SANTO MEL;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;SAO LUCAS;OUTRO FABRICANTE
M01A ANTI REUMATICOS SEM ESTEROIDES;SCAFLOGIN GLO;OUTRO FABRICANTE
A07F MICROORGANISMOS ANTIDIARREICOS;SEIROGAN;OUTRO FABRICANTE
S01X OUTROS OFTALMOLOGICOS;SIMILASAN;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;SITIO SOLEDADE;OUTRO FABRICANTE
A11F VITAMINAS B12 PURA;SOS VITTA;OUTRO FABRICANTE
A12A CALCIO;SOS VITTA;OUTRO FABRICANTE
A01A ESTOMATOLOGICOS;SULFADIAZINA DE PRATA;OUTRO FABRICANTE
D06A ANTIBACTERIANOS TOPICOS;SULFADIAZINA DE PRATA;OUTRO FABRICANTE
R05F OUTROS ANTITUSSIGENOS E ANTIGRIPAIS;SUPRA FORTE;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;SUPRANUTRI;OUTRO FABRICANTE
S01K PRODUTOS PARA OLHO SECO;SUPRILAG;OUTRO FABRICANTE
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;TANDRIMAX;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;TANGIRU;OUTRO FABRICANTE
N02B NAO NARCOTICOS ANTIPIRETICOS;TERMOPRIN;OUTRO FABRICANTE
G04E PRODUTOS PARA DISFUNCAO ERETIL;TERRESTRES;OUTRO FABRICANTE
R03X TODOS OS OUTROS BRONCODILATADORES;TEZSPIRE;OUTRO FABRICANTE
A10S AGONISTAS GLP 1;TG;OUTRO FABRICANTE
G01B ANTIMICOTICOS GINECOLOGICOS;TIBOLONA;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;TIP TOP;OUTRO FABRICANTE
R05B ANTIGRIPAIS C ANTIINFECCIOSOS;TIRA TOSSE;OUTRO FABRICANTE
A10S AGONISTAS GLP 1;TIRZEPATIDA;OUTRO FABRICANTE
R05C EXPECTORANTES;TOSSEFEDRIN;OUTRO FABRICANTE
A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES;ULTRACLER;OUTRO FABRICANTE
A06A DROGAS PARA A CONSTIPACAO;ULTRASUPRY;OUTRO FABRICANTE
A11G VITAMINA C INCLUSIVE ASSOCIADA A MINERAIS;ULTRASUPRY;OUTRO FABRICANTE
A10C INSULINAS HUMANAS E ANALOGAS;UNIQMED;OUTRO FABRICANTE
R05C EXPECTORANTES;UPAMEL;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;VALE DO MEL;OUTRO FABRICANTE
L01G ANTICORPOS MONOCLONAIS ANTINEOPLASICOS;VECTIBIX;OUTRO FABRICANTE
B01A ANTICOAGULANTES NAO INJETAVEIS;VENOVAZ;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;VIDA NATURAL;OUTRO FABRICANTE
A11F VITAMINAS B12 PURA;VIFLOZA;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;VITALLYFOR;OUTRO FABRICANTE
A12C OUTROS SUPLEMENTOS MINERAIS;VITALPROTEINS;OUTRO FABRICANTE
R05A ANTIGRIPAIS EXCLUINDO ANTINFECCIOSOS;VOVO PEDRO;OUTRO FABRICANTE
R02A PREPARACOES PARA GARGANTA;VOVOPEDRO;OUTRO FABRICANTE
R03A AGONISTAS BETA 2;WAKA;OUTRO FABRICANTE
R01B DESCONGESTIONANTES NASAIS SISTEMICOS;WINTER AP;OUTRO FABRICANTE
