EST_MER_6;MARCA;FABRICANTE
M03B RELAXANTES MUSCULARES ACAO CENTRAL;CLOR DE CICLOBENZAPRINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
J01G FLUOROQUINOLONAS;CLOR DE CIPROFLOXACINO ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N07D PRODUTOS ANTI ALZHEIMER;CLOR DE DORZOLAMIDA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
S01E MIOTICOS E PRAPARADOS ANTIGLAUCOMA;CLOR DE DORZOLAMIDA COLIRIO ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE DULOXETINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE FLUOXETINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N07D PRODUTOS ANTI ALZHEIMER;CLOR DE MEMANTINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C07A AGENTES BETA BLOQUEADORES PUROS;CLOR DE NEBIVOLOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE SERTRALINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS;CLOR DE SIBUTRAMINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS;CLOR DE SIBUTRAMINA BIO;ACHE LABORATORIOS FARMACEUTICOS SA
C07A AGENTES BETA BLOQUEADORES PUROS;CLOR DE SOTALOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;CLOR DE TERBINAFINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N02A ANALGESICOS NARCOTICOS;CLOR DE TRAMADOL PARACETAMOL ACHE;ACHE LABORATORIOS FARMACEUTICOS SA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE VENLAFAXINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C08A ANTAGONISTAS DO CALCIO PUROS;CLOR DE VERAPAMIL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A07F MICROORGANISMOS ANTIDIARREICOS;COLIDIS ACH;ACHE LABORATORIOS FARMACEUTICOS SA
G01A TRICOMONICIDAS;COLPISTATIN ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N02A ANALGESICOS NARCOTICOS;COMBFIX ACH;ACHE LABORATORIOS FARMACEUTICOS SA
B03A HEMATINICOS FERRO E TODAS AS ASSOCIACOES;COMBIRON ACH;ACHE LABORATORIOS FARMACEUTICOS SA
S01E MIOTICOS E PRAPARADOS ANTIGLAUCOMA;COMBTOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N07D PRODUTOS ANTI ALZHEIMER;COMFECT ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N07D PRODUTOS ANTI ALZHEIMER;COMFECT DUO ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C08A ANTAGONISTAS DO CALCIO PUROS;CORDAREX ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;CORUS ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS;CORUS ACH;ACHE LABORATORIOS FARMACEUTICOS SA
G04C PRODUTOS PARA HIPERPLASIA PROSTATICA BENIGNA HPB;DASTENE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
H02A CORTICOSTEROIDES PUROS;DECADRON ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R01A PREPARACOES NASAIS TOPICAS;DECADRON ACH;ACHE LABORATORIOS FARMACEUTICOS SA
S01C COMBINACOES DE ANTI INFLAMATORIOS OFTALMICOS E ANT;DECADRON ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R01A PREPARACOES NASAIS TOPICAS;DECONGEX ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R01B DESCONGESTIONANTES NASAIS SISTEMICOS;DECONGEX ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R06A ANTIHISTAMINICOS SISTEMICOS;DECONLERG ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R05D ANTITUSSIGENOS;DECONTOSSE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N06A A DEPRESSIVOS E REGUL DE HUMOR;DELLER ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N06A A DEPRESSIVOS E REGUL DE HUMOR;DEPAXAN ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N01B ANESTESICOS LOCAIS EXCLUINDO DERMATOLOGICOS;DERMOMAX ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N06A A DEPRESSIVOS E REGUL DE HUMOR;DESENVO ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R06A ANTIHISTAMINICOS SISTEMICOS;DESLORATADINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R06A ANTIHISTAMINICOS SISTEMICOS;DESLORATADINA XAROPE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;DESOGESTREL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;DESOGESTREL ETINILESTRADIOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
D07A CORTICOIDES TOPICOS PUROS;DESONIDA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N06A A DEPRESSIVOS E REGUL DE HUMOR;DESVE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N07C OUTROS MEDICAMENTOS ANTIVERTIGINOSOS;DICLOR DE BETAISTINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N04A ANTIPARKINSONIANOS;DICLOR DE PRAMIPEXOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
G03D PROGESTOGENOS E ASSOCIACOES EXCLUINDO G3A G3F;DIENOGESTE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A09A DIGESTIVOS INCLUIDO ENZIMAS;DIGEPLUS ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C05B TERAPIA VARICOSA TOPICA;DIOSMIN ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C05C TERAPIA VARICOSA SISTEMICA;DIOSMIN ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N02B NAO NARCOTICOS ANTIPIRETICOS;DIPIRONA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C05C TERAPIA VARICOSA SISTEMICA;DISP H ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A02B ANTIULCEROSOS;DISPETIC ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A02B ANTIULCEROSOS;DIVENA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
A03F GASTROPROCINETICOS;DOMPED ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N07D PRODUTOS ANTI ALZHEIMER;DONILA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N07D PRODUTOS ANTI ALZHEIMER;DONILA DUO ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N02B NAO NARCOTICOS ANTIPIRETICOS;DORALIV ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N02D PROD GABAPENTINOIDES;DORENE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N02D PROD GABAPENTINOIDES;DORENE TABS ACH;ACHE LABORATORIOS FARMACEUTICOS SA
M03B RELAXANTES MUSCULARES ACAO CENTRAL;DORILAX ACH;ACHE LABORATORIOS FARMACEUTICOS SA
G04C PRODUTOS PARA HIPERPLASIA PROSTATICA BENIGNA HPB;DROALFA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R05D ANTITUSSIGENOS;DROPROPIZINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N06A A DEPRESSIVOS E REGUL DE HUMOR;DUAL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
D10B PREPARACOES ANTIACNE ORAIS;DUNIA 35 ACH;ACHE LABORATORIOS FARMACEUTICOS SA
G04C PRODUTOS PARA HIPERPLASIA PROSTATICA BENIGNA HPB;DUTASTERIDA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
